,year,model_name,log_marg,Wass_dist,q95,q99,q995,posterior_probability
0,1993,Log-Logistic,3532.2057397469325,10.879217974813242,0.10049545382755239,0.38002846289579634,0.6670399611424235,1.9611172559182376e-10
1,1993,Lomax,3554.5228035535156,3.443349261412243,0.07423642644959386,0.1791593310718728,0.25307274281968306,0.965342050482162
2,1993,Burr,3551.1958481755014,3.3507851927857146,0.07405092729535473,0.18059110439888323,0.25678838106707697,0.034657949321726285
3,1993,Exp,3318.383043058521,11.447037928594346,0.06797229519302748,0.10448997397379421,0.12021728217992458,2.6945502286714867e-103
4,1993,Gamma,3446.5552564448108,8.962200822900042,0.07719107102878255,0.12750939882029794,0.14964655882713399,1.2444323448454644e-47
5,1993,Weibull,3495.5558691394885,7.236943755676271,0.07727805395123706,0.1392904273952081,0.16879232868955382,2.375018483133564e-26
6,1993,Inverse-Gaussian,3037.49596030308,11.204701399317873,0.09800559173188465,0.3655115447956096,0.5415682980321669,2.7718913616483294e-225
7,1993,Lognormal,3447.626906340666,7.3249587429565,0.1072783440481764,0.30338655016464683,0.4438903387024803,3.63398329783638e-47
8,1993,Inverse-Weibull,3243.388707603011,2631.570237109246,0.822287740128776,15.869697232182606,56.135556926947906,7.258722961146164e-136
9,1993,Inverse-Gamma,3020.331269397496,67053.10877833213,1.646986541471344,96.21891566941254,554.6670817743296,9.732976194655892e-233
0,1994,Log-Logistic,7282.57156192984,51.37519933428815,0.15750405241676138,0.625704062805733,1.1213970290603168,3.5478163363600814e-17
1,1994,Lomax,7320.431707403825,6.600299220539291,0.11968385348068271,0.3159685218274963,0.4653353540736415,0.9826828858465475
2,1994,Burr,7316.393116203985,6.690566876577272,0.11970185746116653,0.31534396919598817,0.46403158033703984,0.017317114153452478
3,1994,Exp,6763.862412797174,41.69479038951458,0.10240278383348624,0.15741802137501826,0.18111179452099535,1.894261567978883e-242
4,1994,Gamma,7067.012753316819,30.73298032403228,0.12131131805255535,0.20209714963509737,0.2377247043498187,8.589344523229763e-111
5,1994,Weibull,7193.623445014402,23.104668176325138,0.12125361034286151,0.22251043044430951,0.271220264287887,8.32309356996629e-56
6,1994,Inverse-Gaussian,6039.848872241289,44.77395873716141,0.14598366193125212,0.5815600765549026,0.8777937514782425,0.0
7,1994,Lognormal,7157.397734790447,25.703365651913536,0.16411488077728748,0.4769230974750855,0.7047796811087139,1.5404894336523392e-71
8,1994,Inverse-Weibull,6617.877064540373,25258.740558428166,1.3394766549544084,27.712961859859806,100.98176078218408,7.530239018852365e-306
9,1994,Inverse-Gamma,6045.186747543705,2123951.7436130303,3.1130724961493925,224.58634815195768,1417.8518367022807,0.0
0,1995,Log-Logistic,8433.099394091201,38.637108486386516,0.15088740577523946,0.5566862858558204,0.9669752147001388,0.0335259968080788
1,1995,Lomax,8421.805876501043,11.200447638026358,0.13470107542533463,0.3656344517369539,0.545472243848435,4.175123521359283e-07
2,1995,Burr,8436.460726897603,18.55604544393113,0.13583960505704995,0.4269152266674932,0.6874592899660136,0.9664735856795691
3,1995,Exp,7704.697676113301,59.25319592099677,0.11472700116324284,0.17636334526582825,0.20290867379615696,1.529444e-318
4,1995,Gamma,8021.569310171813,43.96502408605128,0.1349381634932061,0.22376297707484943,0.2628841216467518,6.311565825143253e-181
5,1995,Weibull,8199.427373939743,33.4673279196932,0.13404617783070258,0.24454896518802627,0.2975143756066872,1.1038568890274862e-103
6,1995,Inverse-Gaussian,7294.242030670899,41.60794808260845,0.1693056843501772,0.5742445404543787,0.828810487736597,0.0
7,1995,Lognormal,8326.61094636725,11.809127192194554,0.15758872328595272,0.42463821266869595,0.6103996882884879,1.8968651884698338e-48
8,1995,Inverse-Weibull,7757.144953664854,12230.26664266941,0.9976556832154507,15.532034769142303,50.12779555161292,9.164276924858379e-296
9,1995,Inverse-Gamma,7159.460273831385,267506.0485348636,1.6711839391502143,63.47623904372964,303.94667980537065,0.0
0,1996,Log-Logistic,8340.906027712628,31.260927548798865,0.142237983303959,0.5202562040593406,0.9003958496619626,0.9359381247529733
1,1996,Lomax,8299.322955280086,16.505567487133714,0.1405328992705553,0.41163813518056214,0.6361655657616377,8.164850558999489e-19
2,1996,Burr,8338.224327761412,34.90637806611563,0.1450623375292577,0.5469761133135286,0.9601930266983468,0.06406187524702664
3,1996,Exp,7415.096705174118,68.12650730895056,0.11987749965195241,0.18428091596884807,0.21201795763637646,0.0
4,1996,Gamma,7799.949147048609,51.93708951873862,0.14364434416521077,0.24029047490824665,0.2829627052868363,1.0880752165023642e-235
5,1996,Weibull,8018.8693922440925,39.15253888651436,0.14014970627011192,0.2606697377457047,0.3191299385271441,1.2957266272393846e-140
6,1996,Inverse-Gaussian,7145.735212554392,39.080200194571965,0.17627773510711914,0.6220733955594808,0.9076852484306882,0.0
7,1996,Lognormal,8227.60059750035,10.027798552333975,0.15433747599522052,0.41452308001572175,0.59514851258469,5.798611699243457e-50
8,1996,Inverse-Weibull,7682.113800091579,11665.399609032469,0.9906527611739825,15.376282322479529,49.56089813243048,7.268050926946238e-287
9,1996,Inverse-Gamma,7031.524639414294,320028.778895428,1.7650949339908273,70.94911502397674,348.12437070767544,0.0
0,1997,Log-Logistic,10834.031833264917,52.22168655180767,0.1514718300498332,0.5622117622081038,0.9790591154817588,0.9076517218711683
1,1997,Lomax,10785.485874777414,20.075897498926324,0.14744636491874166,0.4332445063324791,0.6705296462221763,7.493372911926367e-22
2,1997,Burr,10831.74653958753,63.3914027802244,0.15576335285985424,0.6047965371102462,1.0756088192277953,0.09234827812883177
3,1997,Exp,9716.345296229814,86.42562146700273,0.12267948879603273,0.188588255774108,0.21697361668308673,0.0
4,1997,Gamma,10184.342013588694,64.08558010734635,0.14625620000084832,0.24390654725873245,0.2869843087846395,6.327258847576471e-283
5,1997,Weibull,10450.306767228396,47.40969719338567,0.14396549012348156,0.2661068110925597,0.32512640936753173,2.033482729430532e-167
6,1997,Inverse-Gaussian,9343.246893042586,55.88184256567148,0.18090061593959827,0.6227735997470567,0.9025323940024713,0.0
7,1997,Lognormal,10743.20766416853,8.334876427070855,0.15779879509914355,0.42037173685322954,0.6017435968498548,3.2619986266809485e-40
8,1997,Inverse-Weibull,10054.771818373645,15882.255016772138,0.959860746072015,14.187256078067472,44.78382048647046,0.0
9,1997,Inverse-Gamma,9173.80416910705,478906.50226085004,1.7056090229600527,64.16210507089714,305.9563120216312,0.0
0,1998,Log-Logistic,13829.135653293722,67.08329026334506,0.1550118514666844,0.5542408259255202,0.950037727857559,0.4893951972298245
1,1998,Lomax,13782.490600804143,16.73118906760049,0.141662584189827,0.3710085387758214,0.5443646854851015,2.7037765601499714e-21
2,1998,Burr,13829.178078867244,42.24371340079693,0.1462792348101285,0.4770631789648581,0.7831711027889408,0.5106048027701756
3,1998,Exp,12691.838895571089,97.02830027085396,0.12106524010538135,0.18610676234808204,0.21411862127942238,0.0
4,1998,Gamma,13116.056270252659,73.95472717582176,0.14052446909837663,0.23128964445797667,0.27117954380779424,1.00743837375606e-310
5,1998,Weibull,13408.073065323122,55.00546772808946,0.14006385423742693,0.251869887916405,0.30498377976248386,6.675767631806473e-184
6,1998,Inverse-Gaussian,11762.116527105502,82.49586220218974,0.17913619758394034,0.5914946416449481,0.8474611979832175,0.0
7,1998,Lognormal,13713.55836378524,16.814885880218878,0.15824205543668124,0.4099838962445434,0.5809258613370011,3.12665984507942e-51
8,1998,Inverse-Weibull,12689.33705800598,26488.5340135423,1.0410820434248542,15.360773174580117,48.45187229169684,0.0
9,1998,Inverse-Gamma,11515.528765513414,880310.620324634,1.807725736018934,67.21714074535052,318.92091925206245,0.0
0,1999,Log-Logistic,2471.9271780774425,12.26202013986523,0.1867732297192371,0.7133085675392584,1.2572713294228108,0.24881911613826885
1,1999,Lomax,2472.3987746492758,3.4372671371747905,0.16235989933896927,0.4508248064826499,0.679681526200482,0.39874525849229875
2,1999,Burr,2472.275319868685,3.581046964124168,0.16321840186329772,0.502734944244985,0.8004340136171061,0.35243562536943246
3,1999,Exp,2222.2797061698507,23.272048840766217,0.13967298966966213,0.21471140578642847,0.24702869256287635,9.448530568685017e-110
4,1999,Gamma,2342.373812687015,17.414437577214898,0.16446617491554477,0.2740296323236927,0.3223504489326968,1.3538546532308762e-57
5,1999,Weibull,2401.426472056446,12.893396927501225,0.16258764868967734,0.29953533501269053,0.3655743547535676,5.995372172867424e-32
6,1999,Inverse-Gaussian,2061.384705577513,17.842690765469037,0.20645107204253804,0.7582756988935729,1.1187429102853614,1.2576313342446155e-179
7,1999,Lognormal,2425.4188057588694,4.727671045033989,0.19405338950933587,0.5298349594988143,0.7653001706017616,1.575992994933168e-21
8,1999,Inverse-Weibull,2260.3174937733866,2582.7031673185743,1.3124071791135563,21.8429679396516,72.53324411276718,3.125831277689303e-93
9,1999,Inverse-Gamma,2034.3501822284343,53365.18444998422,2.605860817254463,126.1775664547533,670.8377167707434,2.2835421800509922e-191
