body,tail,model_type,popSize,paralell,computing_time
Burr,Pareto-Tail,disjoint,5000,False,110.61159253120422
Burr,Pareto-Tail,simple,5000,False,90.84843635559082
Burr,Pareto-Tail,continuous,5000,False,90.11087107658386
Burr,GPD-Tail,disjoint,5000,False,131.817875623703
Burr,GPD-Tail,simple,5000,False,104.37946343421936
Burr,GPD-Tail,continuous,5000,False,102.79913473129272
Exp,Pareto-Tail,disjoint,5000,False,16.098961353302002
Exp,Pareto-Tail,simple,5000,False,13.604095220565796
Exp,Pareto-Tail,continuous,5000,False,12.010257959365845
Exp,GPD-Tail,disjoint,5000,False,20.6979763507843
Exp,GPD-Tail,simple,5000,False,15.500991821289062
Exp,GPD-Tail,continuous,5000,False,15.726999759674072
Weibull,Pareto-Tail,disjoint,5000,False,57.790573835372925
Weibull,Pareto-Tail,simple,5000,False,41.884278774261475
Weibull,Pareto-Tail,continuous,5000,False,41.95546221733093
Weibull,GPD-Tail,disjoint,5000,False,75.13137221336365
Weibull,GPD-Tail,simple,5000,False,55.34318971633911
Weibull,GPD-Tail,continuous,5000,False,55.29912567138672
Burr,Pareto-Tail,disjoint,10000,False,210.69387578964233
Burr,Pareto-Tail,simple,10000,False,171.1888439655304
Burr,Pareto-Tail,continuous,10000,False,171.18842482566833
Burr,GPD-Tail,disjoint,10000,False,245.59657335281372
Burr,GPD-Tail,simple,10000,False,201.32100081443787
Burr,GPD-Tail,continuous,10000,False,200.66678166389465
Exp,Pareto-Tail,disjoint,10000,False,30.109325885772705
Exp,Pareto-Tail,simple,10000,False,23.324219465255737
Exp,Pareto-Tail,continuous,10000,False,21.005150079727173
Exp,GPD-Tail,disjoint,10000,False,40.15816068649292
Exp,GPD-Tail,simple,10000,False,28.173272371292114
Exp,GPD-Tail,continuous,10000,False,27.883216381072998
Weibull,Pareto-Tail,disjoint,10000,False,112.54237389564514
Weibull,Pareto-Tail,simple,10000,False,80.30558371543884
Weibull,Pareto-Tail,continuous,10000,False,83.43675589561462
Weibull,GPD-Tail,disjoint,10000,False,146.96588397026062
Weibull,GPD-Tail,simple,10000,False,105.58801698684692
Weibull,GPD-Tail,continuous,10000,False,116.05549550056458
Burr,Pareto-Tail,disjoint,20000,False,422.8647532463074
Burr,Pareto-Tail,simple,20000,False,339.74189281463623
Burr,Pareto-Tail,continuous,20000,False,338.402072429657
Burr,GPD-Tail,disjoint,20000,False,492.0302767753601
Burr,GPD-Tail,simple,20000,False,402.3919126987457
Burr,GPD-Tail,continuous,20000,False,401.1850290298462
Exp,Pareto-Tail,disjoint,20000,False,59.71112585067749
Exp,Pareto-Tail,simple,20000,False,46.749144315719604
Exp,Pareto-Tail,continuous,20000,False,40.37055230140686
Exp,GPD-Tail,disjoint,20000,False,77.37709665298462
Exp,GPD-Tail,simple,20000,False,54.22722029685974
Exp,GPD-Tail,continuous,20000,False,53.87928819656372
Weibull,Pareto-Tail,disjoint,20000,False,228.15410447120667
Weibull,Pareto-Tail,simple,20000,False,151.07299780845642
Weibull,Pareto-Tail,continuous,20000,False,150.80171656608582
Weibull,GPD-Tail,disjoint,20000,False,280.08714604377747
Weibull,GPD-Tail,simple,20000,False,209.42969489097595
Weibull,GPD-Tail,continuous,20000,False,227.53905844688416
Burr,Pareto-Tail,disjoint,5000,True,1224.5981912612915
Burr,Pareto-Tail,simple,5000,True,54.641376972198486
Burr,Pareto-Tail,continuous,5000,True,56.583940744400024
Burr,GPD-Tail,disjoint,5000,True,81.87846803665161
Burr,GPD-Tail,simple,5000,True,70.03481268882751
Burr,GPD-Tail,continuous,5000,True,72.30157923698425
Exp,Pareto-Tail,disjoint,5000,True,23.218342542648315
Exp,Pareto-Tail,simple,5000,True,18.722127437591553
Exp,Pareto-Tail,continuous,5000,True,17.293874740600586
Exp,GPD-Tail,disjoint,5000,True,28.178115606307983
Exp,GPD-Tail,simple,5000,True,22.058080911636353
Exp,GPD-Tail,continuous,5000,True,22.846901893615723
Weibull,Pareto-Tail,disjoint,5000,True,49.127864837646484
Weibull,Pareto-Tail,simple,5000,True,37.40399479866028
Weibull,Pareto-Tail,continuous,5000,True,761.5496408939362
Weibull,GPD-Tail,disjoint,5000,True,42.7868549823761
Weibull,GPD-Tail,simple,5000,True,35.96540117263794
Weibull,GPD-Tail,continuous,5000,True,43.12881374359131
Burr,Pareto-Tail,disjoint,10000,True,121.36555457115173
Burr,Pareto-Tail,simple,10000,True,110.39805054664612
Burr,Pareto-Tail,continuous,10000,True,110.45164132118225
Burr,GPD-Tail,disjoint,10000,True,149.52129316329956
Burr,GPD-Tail,simple,10000,True,125.4591019153595
Burr,GPD-Tail,continuous,10000,True,124.7916853427887
Exp,Pareto-Tail,disjoint,10000,True,32.75687313079834
Exp,Pareto-Tail,simple,10000,True,26.385876417160034
Exp,Pareto-Tail,continuous,10000,True,23.95748734474182
Exp,GPD-Tail,disjoint,10000,True,40.03607988357544
Exp,GPD-Tail,simple,10000,True,30.70214009284973
Exp,GPD-Tail,continuous,10000,True,31.26634931564331
Weibull,Pareto-Tail,disjoint,10000,True,80.82498073577881
Weibull,Pareto-Tail,simple,10000,True,60.4561071395874
Weibull,Pareto-Tail,continuous,10000,True,59.480072021484375
Weibull,GPD-Tail,disjoint,10000,True,96.92444491386414
Weibull,GPD-Tail,simple,10000,True,76.14561104774475
Weibull,GPD-Tail,continuous,10000,True,80.76365566253662
Burr,Pareto-Tail,disjoint,20000,True,244.58241724967957
Burr,Pareto-Tail,simple,20000,True,202.31726050376892
Burr,Pareto-Tail,continuous,20000,True,202.24089860916138
Burr,GPD-Tail,disjoint,20000,True,295.2315311431885
Burr,GPD-Tail,simple,20000,True,234.3293707370758
Burr,GPD-Tail,continuous,20000,True,232.16844153404236
Exp,Pareto-Tail,disjoint,20000,True,51.34193468093872
Exp,Pareto-Tail,simple,20000,True,41.5019588470459
Exp,Pareto-Tail,continuous,20000,True,36.29148840904236
Exp,GPD-Tail,disjoint,20000,True,62.89268660545349
Exp,GPD-Tail,simple,20000,True,47.70255255699158
Exp,GPD-Tail,continuous,20000,True,47.344337463378906
Weibull,Pareto-Tail,disjoint,20000,True,145.4325180053711
Weibull,Pareto-Tail,simple,20000,True,104.36474919319153
Weibull,Pareto-Tail,continuous,20000,True,105.000568151474
Weibull,GPD-Tail,disjoint,20000,True,3759.8026876449585
Weibull,GPD-Tail,simple,20000,True,119.10619068145752
Weibull,GPD-Tail,continuous,20000,True,143.14257669448853
