body;tail;model_type;popSize;paralell;computing_time
Exp;Pareto-Tail;continuous;5000;False;22.56894063949585
Exp;Pareto-Tail;simple;5000;False;26.635361433029175
Exp;Pareto-Tail;disjoint;5000;False;34.455079793930054
Exp;GPD-Tail;continuous;5000;False;24.896075010299683
Exp;GPD-Tail;simple;5000;False;32.57995557785034
Exp;GPD-Tail;disjoint;5000;False;41.83474683761597
Weibull;Pareto-Tail;continuous;5000;False;52.589778423309326
Weibull;Pareto-Tail;simple;5000;False;56.9070987701416
Weibull;Pareto-Tail;disjoint;5000;False;69.91548943519592
Weibull;GPD-Tail;continuous;5000;False;76.41568899154663
Weibull;GPD-Tail;simple;5000;False;60.060235261917114
Weibull;GPD-Tail;disjoint;5000;False;67.16487073898315
Burr;Pareto-Tail;continuous;5000;False;94.20731687545776
Burr;Pareto-Tail;simple;5000;False;94.40812420845032
Burr;Pareto-Tail;disjoint;5000;False;115.21771621704102
Burr;GPD-Tail;continuous;5000;False;103.45231938362122
Burr;GPD-Tail;simple;5000;False;89.89077711105347
Burr;GPD-Tail;disjoint;5000;False;117.0126838684082
Exp;Pareto-Tail;continuous;10000;False;35.846059799194336
Exp;Pareto-Tail;simple;10000;False;45.322192668914795
Exp;Pareto-Tail;disjoint;10000;False;55.03333806991577
Exp;GPD-Tail;continuous;10000;False;45.247950077056885
Exp;GPD-Tail;simple;10000;False;58.75296497344971
Exp;GPD-Tail;disjoint;10000;False;73.98593235015869
Weibull;Pareto-Tail;continuous;10000;False;100.2679877281189
Weibull;Pareto-Tail;simple;10000;False;105.16208672523499
Weibull;Pareto-Tail;disjoint;10000;False;136.48772764205933
Weibull;GPD-Tail;continuous;10000;False;150.38016438484192
Weibull;GPD-Tail;simple;10000;False;1030.5797781944275
Weibull;GPD-Tail;disjoint;10000;False;137.74282717704773
Burr;Pareto-Tail;continuous;10000;False;197.67611050605774
Burr;Pareto-Tail;simple;10000;False;181.3809745311737
Burr;Pareto-Tail;disjoint;10000;False;234.75983476638794
Burr;GPD-Tail;continuous;10000;False;187.31085991859436
Burr;GPD-Tail;simple;10000;False;226.7140874862671
Burr;GPD-Tail;disjoint;10000;False;179.14010500907898
Exp;Pareto-Tail;continuous;20000;False;72.45647311210632
Exp;Pareto-Tail;simple;20000;False;90.2220950126648
Exp;Pareto-Tail;disjoint;20000;False;114.16562271118164
Exp;GPD-Tail;continuous;20000;False;88.95413708686829
Exp;GPD-Tail;simple;20000;False;117.13100862503052
Exp;GPD-Tail;disjoint;20000;False;149.95716834068298
Weibull;Pareto-Tail;continuous;20000;False;205.4439127445221
Weibull;Pareto-Tail;simple;20000;False;213.85257029533386
Weibull;Pareto-Tail;disjoint;20000;False;285.7698669433594
Weibull;GPD-Tail;continuous;20000;False;314.653927564621
Weibull;GPD-Tail;simple;20000;False;224.1163785457611
Weibull;GPD-Tail;disjoint;20000;False;268.47229409217834
Burr;Pareto-Tail;continuous;20000;False;377.81462121009827
Burr;Pareto-Tail;simple;20000;False;377.2171332836151
Burr;Pareto-Tail;disjoint;20000;False;465.117840051651
Burr;GPD-Tail;continuous;20000;False;468.3240735530853
Burr;GPD-Tail;simple;20000;False;419.2260582447052
Burr;GPD-Tail;disjoint;20000;False;373.5158586502075
Exp;Pareto-Tail;continuous;5000;True;34.10052251815796
Exp;Pareto-Tail;simple;5000;True;34.375205993652344
Exp;Pareto-Tail;disjoint;5000;True;38.48515200614929
Exp;GPD-Tail;continuous;5000;True;33.13309288024902
Exp;GPD-Tail;simple;5000;True;38.89679002761841
Exp;GPD-Tail;disjoint;5000;True;41.18604588508606
Weibull;Pareto-Tail;continuous;5000;True;50.46119403839111
Weibull;Pareto-Tail;simple;5000;True;55.14573001861572
Weibull;Pareto-Tail;disjoint;5000;True;62.950939655303955
Weibull;GPD-Tail;continuous;5000;True;69.90631747245789
Weibull;GPD-Tail;simple;5000;True;56.14221382141113
Weibull;GPD-Tail;disjoint;5000;True;60.408199310302734
Burr;Pareto-Tail;continuous;5000;True;65.91632342338562
Burr;Pareto-Tail;simple;5000;True;66.5472424030304
Burr;Pareto-Tail;disjoint;5000;True;84.13289594650269
Burr;GPD-Tail;continuous;5000;True;72.56980991363525
Burr;GPD-Tail;simple;5000;True;76.55671572685242
Burr;GPD-Tail;disjoint;5000;True;77.13320398330688
Exp;Pareto-Tail;continuous;10000;True;40.74272871017456
Exp;Pareto-Tail;simple;10000;True;47.08677124977112
Exp;Pareto-Tail;disjoint;10000;True;58.780991554260254
Exp;GPD-Tail;continuous;10000;True;48.65282154083252
Exp;GPD-Tail;simple;10000;True;61.91728138923645
Exp;GPD-Tail;disjoint;10000;True;68.56978821754456
Weibull;Pareto-Tail;continuous;10000;True;81.18553614616394
Weibull;Pareto-Tail;simple;10000;True;91.23166012763977
Weibull;Pareto-Tail;disjoint;10000;True;127.51580023765564
Weibull;GPD-Tail;continuous;10000;True;118.98228716850281
Weibull;GPD-Tail;simple;10000;True;88.04071974754333
Weibull;GPD-Tail;disjoint;10000;True;102.73423552513123
Burr;Pareto-Tail;continuous;10000;True;2844.718029975891
Burr;Pareto-Tail;simple;10000;True;101.44379568099976
Burr;Pareto-Tail;disjoint;10000;True;138.26489877700806
Burr;GPD-Tail;continuous;10000;True;141.9364891052246
Burr;GPD-Tail;simple;10000;True;127.54755425453186
Burr;GPD-Tail;disjoint;10000;True;144.3845555782318
Exp;Pareto-Tail;continuous;20000;True;65.28202199935913
Exp;Pareto-Tail;simple;20000;True;77.60061264038086
Exp;Pareto-Tail;disjoint;20000;True;95.81905555725098
Exp;GPD-Tail;continuous;20000;True;73.80053853988647
Exp;GPD-Tail;simple;20000;True;101.60341167449951
Exp;GPD-Tail;disjoint;20000;True;120.08911633491516
Weibull;Pareto-Tail;continuous;20000;True;151.858904838562
Weibull;Pareto-Tail;simple;20000;True;158.04609632492065
Weibull;Pareto-Tail;disjoint;20000;True;204.96456217765808
Weibull;GPD-Tail;continuous;20000;True;224.28491806983948
Weibull;GPD-Tail;simple;20000;True;160.9273943901062
Weibull;GPD-Tail;disjoint;20000;True;190.49501299858093
Burr;Pareto-Tail;continuous;20000;True;263.0660789012909
Burr;Pareto-Tail;simple;20000;True;240.64756751060486
Burr;Pareto-Tail;disjoint;20000;True;340.4239468574524
Burr;GPD-Tail;continuous;20000;True;302.069598197937
Burr;GPD-Tail;simple;20000;True;251.4730372428894
Burr;GPD-Tail;disjoint;20000;True;255.9396457672119
