,model,d,Î³_map,log_marg,DIC,WAIC,Wass_dist
0,Exp,1,0.31340405,-5285.712286727985,10560.539867740357,10570.697948066203,3290.2017279721385
1,Gamma,2,0.31340405,-5251.611583665044,10481.990865201184,10508.907071144788,3325.5517717877065
2,Weibull,2,0.31340405,-5279.977832803993,10536.731812053265,10565.71654704467,3200.66310872559
3,Inverse-Gaussian,2,0.31340405,-4526.179992568427,9028.525630174227,9046.535926838054,2674.2786527194066
4,Lognormal,2,0.31340405,-4445.053547764892,8863.592347600266,8874.157993432778,2362.387009059291
5,Log-Logistic,2,0.31340405,-4290.319407543944,8556.914763780067,8565.974035250732,2317.0167473209804
6,Lomax,2,0.31340405,-5068.821635884935,10100.902787411102,10109.800739354427,2548.4878791185965
7,Burr,3,0.31340405,-3858.984146965591,7665.300382002544,7679.744348546005,655.2998117758724
8,Pareto,2,0.31340405,-5679.222784276625,11348.21647817214,11351.331938176718,952655.8873979878
9,GPD,3,0.31340405,-4682.179894640482,9345.112486403425,9354.034256973304,2105.613433260662
10,Gamma-Pareto,3,1.2374952246156161,-3900.764544312988,7721.174834326538,7735.565320736299,593.0032784488736
11,Lognormal-Pareto,3,1.2114040701155797,-3882.9036289749656,7725.666586376874,7745.174802909013,672.4511587659449
12,Weibull-Pareto,3,1.0159279968920283,-3866.2373606825136,7675.154609431389,7690.166386043219,1301.968540442531
13,Inverse-Gamma,2,0.31340405,-4108.925240843784,8191.758751141599,8200.222627255844,1927.9720051783797
14,Inverse-Weibull,2,0.31340405,-3976.3245179059195,7929.476211959591,7939.08659362463,1665.2185990589921
