,model,d,γ_map,log_marg,DIC,WAIC,posterior_probability,Wass_dist
0,Inverse-Gaussian_Exp_continuous,4,3.534540512653321,-4108.917345336005,8153.3269099506315,8179.739565835125,1.0361510223187301e-131,1484.21095596021
1,Inverse-Gaussian_Exp_simple,4,2.599867468194013,-4244.468097218686,8501.315966602973,8485.891141444985,1.40113344357037e-190,1558.6077619454131
2,Inverse-Gaussian_Exp_disjoint,5,3.5212809474228175,-4111.81717815355,8150.731496832943,8182.85071871906,5.702189797678014e-133,1498.763548923584
3,Inverse-Gaussian_Gamma_continuous,5,2.6521054043888705,-4031.0633372624475,7975.832719622869,8001.775295103031,6.71412094606962e-98,1343.3771898257721
4,Inverse-Gaussian_Gamma_simple,5,0.8261057063743882,-4103.05705274209,8337.700727775315,8104.834236698167,3.635095254948647e-129,2425.253479727827
5,Inverse-Gaussian_Gamma_disjoint,6,2.640368502206745,-4033.859675925406,7973.552433841203,8004.472129288709,4.097837282409302e-99,1360.4235867053535
6,Inverse-Gaussian_Weibull_continuous,5,0.956466266661567,-3879.6483262008824,7626.426198053452,7644.0966197694925,3.8520590994890004e-32,1267.30515868054
7,Inverse-Gaussian_Weibull_simple,5,0.8250207579571616,-3871.1378688139284,7654.535133850692,7676.274353607922,1.913099786374088e-28,1202.0314550965381
8,Inverse-Gaussian_Weibull_disjoint,6,0.8246583699586923,-3856.266494095083,7641.105203371342,7651.928095866067,5.49912512950681e-22,1162.6686041376406
9,Inverse-Gaussian_Inverse-Gaussian_continuous,5,2.32247166146875,-3976.1961678905814,7889.687990779496,7904.261436245186,4.523744374809754e-74,1103.3810286392415
10,Inverse-Gaussian_Inverse-Gaussian_simple,5,0.8245590402438268,-3947.033753871309,7821.536756729427,7838.387328365747,2.0920571470300075e-61,1816.8627431055445
11,Inverse-Gaussian_Inverse-Gaussian_disjoint,6,0.8246068191749829,-3928.1943269068215,7800.879361039401,7813.715673664156,3.1800409793606783e-53,1767.8639764183895
12,Inverse-Gaussian_Lognormal_continuous,5,0.9636795399832772,-3865.017868850318,7602.189696225792,7619.378510737332,8.702015182100034e-26,1113.6451120220886
13,Inverse-Gaussian_Lognormal_simple,5,0.8249854676127505,-3858.4096490005404,7633.588875841328,7659.159202559225,6.449607006716587e-23,1136.628361031065
14,Inverse-Gaussian_Lognormal_disjoint,6,0.82463231797197,-3852.240251115439,7619.94680122595,7636.859912622836,3.08225602923456e-20,1128.4270475751118
15,Inverse-Gaussian_Log-Logistic_continuous,5,0.9816571450935438,-3843.1676186412487,7572.171425565312,7600.047041696023,2.6857335888527493e-16,391.75734522663055
16,Inverse-Gaussian_Log-Logistic_simple,5,0.8245690857134765,-3832.8039008950113,7590.825534596927,7607.931696102143,8.510760315401005e-12,749.5927931647493
17,Inverse-Gaussian_Log-Logistic_disjoint,6,0.8245644205734974,-3824.779427808098,7571.861330094775,7589.734479752266,2.599876638814792e-08,744.9487203611154
18,Inverse-Gaussian_Lomax_continuous,5,0.9810595558178353,-3853.813736475764,7574.355712468859,7598.259100038986,6.390174258692387e-21,440.17769894721505
19,Inverse-Gaussian_Lomax_simple,5,0.8247047280885005,-3845.2155688824973,7611.59500517106,7630.451548134495,3.4645708073212553e-17,794.6402922651854
20,Inverse-Gaussian_Lomax_disjoint,6,0.8246189160822193,-3832.0001925995143,7593.827320623566,7611.298597010046,1.90114148025361e-11,796.946024220591
21,Inverse-Gaussian_Burr_continuous,6,0.9927065930130586,-3840.3592811134686,7581.338408242331,7600.408629970953,4.453571430214291e-15,606.6519979039148
22,Inverse-Gaussian_Burr_simple,6,0.8243944984741948,-3827.165505846375,7560.415332326856,7575.694380802817,2.3916202186349297e-09,538.4198040714479
23,Inverse-Gaussian_Burr_disjoint,7,0.8243667515155833,-3807.314612747592,7537.388909047026,7555.339089664128,0.9995983945106026,448.7742680497475
24,Inverse-Gaussian_Pareto-Tail_continuous,4,1.0865963104232346,-3853.1131544265922,7605.249376107716,7622.4935374222205,1.2875722837860103e-20,663.7359128820402
25,Inverse-Gaussian_Pareto-Tail_simple,4,0.8455782612819643,-3890.5708616204465,7712.603334010774,7731.840344216791,6.951780972401058e-37,2593.877214788721
26,Inverse-Gaussian_Pareto-Tail_disjoint,5,0.8247604487482684,-3884.4980705922044,7707.0786074557045,7720.592025433284,3.01630819329467e-34,3083.121876130309
27,Inverse-Gaussian_GPD-Tail_continuous,5,0.9731891569583375,-3842.014718604176,7574.947389883516,7593.20266111456,8.506698782438832e-16,431.752810933716
28,Inverse-Gaussian_GPD-Tail_simple,5,0.8247245313728863,-3844.1742235246074,7610.733344681032,7631.168251623461,9.815218778792871e-17,793.9751813053961
29,Inverse-Gaussian_GPD-Tail_disjoint,6,0.8246195863941015,-3832.5130168285878,7593.596277908151,7611.544197519513,1.1384073859526893e-11,796.9434463715456
30,Inverse-Gaussian_Inverse-Gamma_continuous,5,0.9920128988278825,-3850.9619152137075,7574.046442213612,7600.862707769333,1.1067332018614179e-19,406.82772808851877
31,Inverse-Gaussian_Inverse-Gamma_simple,5,0.8245423854218504,-3834.8159416651743,7593.519195535175,7610.2904313425,1.1380206850310103e-12,805.726853742532
32,Inverse-Gaussian_Inverse-Gamma_disjoint,6,0.8245590655807599,-3825.69815925306,7574.1382289415915,7592.264813725539,1.03741552936624e-08,805.4344402102802
33,Inverse-Gaussian_Inverse-Weibull_continuous,5,0.9649379450795721,-3842.4107998402524,7572.839815687704,7596.362722270282,5.724600177956083e-16,390.1086502406292
34,Inverse-Gaussian_Inverse-Weibull_simple,5,0.8244653082759654,-3823.978848351903,7575.543828161572,7592.553829374124,5.789485650261123e-08,717.3759812686297
35,Inverse-Gaussian_Inverse-Weibull_disjoint,6,0.824491427124583,-3815.1344921934815,7556.340585281673,7574.312702127993,0.00040150878994842614,721.9871925980532
